기관명,영문서비스명,시작주소,끝주소,개수(/24),할당일
(주) 씨엠비,CMBI-NETDJ,211.237.80.0,211.237.95.255,16,20030103
(주) 씨엠비,CMBI-NETDJ,124.195.160.0,124.195.191.255,32,20080418
(주) 씨엠비,CMBI-NETDJ,110.35.0.0,110.35.63.255,64,20090304
(주) 씨엠비,CMBI-NETDJ,49.143.128.0,49.143.179.255,52,20101111
(주) 씨엠비,CMBI-NETDJ,49.143.188.0,49.143.191.255,4,20101111
(주) 씨엠비,CMBI-NETDJ,103.234.4.0,103.234.7.255,4,20140627
(주) 씨엠비,CMBI-NETDJ,45.64.144.0,45.64.147.255,4,20140627
주식회사 씨엠비영등포방송,CMBI-NETHK,124.195.224.0,124.195.255.255,32,20080418
주식회사 씨엠비영등포방송,CMBI-NETHK,180.233.192.0,180.233.255.255,64,20091026
주식회사 씨엠비영등포방송,CMBI-NETHK,116.255.64.0,116.255.127.255,64,20101222
주식회사 씨엠비영등포방송,CMBI-NETHK,103.66.188.0,103.66.191.255,4,20160622
주식회사 씨엠비영등포방송,CMBI-NETHK,103.246.172.0,103.246.175.255,4,20160721
주식회사 씨엠비광주방송,CMBKWANGJUNET,122.128.64.0,122.128.79.255,16,20061213
주식회사 씨엠비광주방송,CMBKWANGJUNET,120.29.128.0,120.29.143.255,16,20080317
주식회사 씨엠비광주방송,CMBKWANGJUNET,112.121.192.0,112.121.255.255,64,20090203
주식회사 씨엠비광주방송,CMBKWANGJUNET,112.133.128.0,112.133.191.255,64,20090203
주식회사 씨엠비광주방송,CMBKWANGJUNET,49.246.0.0,49.246.63.255,64,20101117
주식회사 씨엠비광주방송,CMBKWANGJUNET,49.246.64.0,49.246.127.255,64,20101130
주식회사 씨엠비광주방송,CMBKWANGJUNET,103.10.92.0,103.10.95.255,4,20110613
주식회사 씨엠비광주방송,CMBKWANGJUNET,103.10.216.0,103.10.219.255,4,20110801
주식회사 씨엠비광주방송,CMBKWANGJUNET,150.242.144.0,150.242.147.255,4,20140704
(주)씨엠비충청방송,CMBMUTINET,122.252.192.0,122.252.223.255,32,20061116
(주)씨엠비충청방송,CMBMUTINET,27.126.0.0,27.126.63.255,64,20101015
(주)씨엠비충청방송,CMBMUTINET,103.237.20.0,103.237.23.255,4,20140710
